Year,GDP (Billion USD),Government Revenue (Billion USD),Government Spending (Billion USD),Budget Balance (Billion USD),Public Debt (% of GDP),Inflation Rate (%),Unemployment Rate (%),Policy Type,Revenue to GDP (%),Spending to GDP (%),Real Government Revenue (2023 USD),Real Government Spending (2023 USD),Fiscal Policy Shift,Estimated Tax Revenue (Billion USD)
1990,7836.71,1442.14,1568.0,-125.87,30.88,1.71,8.99,Expansionary,18.402365278286425,20.00839638062401,723.539759059427,786.685302540101,Expansionary,1297.9260000000002
1991,9845.68,1704.8,1930.85,-226.06,30.93,0.0,2.0,Expansionary,17.315208294399167,19.611139098569115,822.0274689920248,931.025186827341,Contractionary,1534.32
1992,10356.75,1774.03,1848.17,-74.15,30.94,4.25,6.85,Neutral,17.12921524609554,17.845076882226568,849.800392267861,885.3151248725742,Expansionary,1596.627
1993,9959.11,1734.99,1972.79,-237.8,30.99,0.0,7.35,Expansionary,17.421135021101282,19.808898586319458,807.5197741178941,918.1994911682721,Contractionary,1561.491
1994,11870.73,2099.75,2135.37,-35.62,31.0,0.79,4.73,Neutral,17.688465663021567,17.988531455100066,943.9686382576103,959.9820507565917,Expansionary,1889.775
1995,10414.33,1880.43,1983.69,-103.27,31.02,3.1,5.21,Expansionary,18.05617836193015,19.047696779341543,841.9187469907766,888.1510075983333,Neutral,1692.3870000000002
1996,11570.05,1947.8,2087.96,-140.16,31.04,1.52,5.73,Expansionary,16.834845138957913,18.046248719754885,822.0210159215703,881.1720917977216,Neutral,1753.02
1997,11859.24,2241.49,2373.59,-132.09,31.06,6.09,5.4,Expansionary,18.90078959528604,20.01468896826441,931.8022526323774,986.71709837014,Neutral,2017.341
1998,13124.88,2423.6,2607.24,-183.65,31.09,0.41,5.38,Expansionary,18.465692638713648,19.86486733592993,977.2129843881387,1051.2579556924122,Neutral,2181.24
1999,13498.83,2222.41,2522.6,-300.19,31.14,3.53,2.65,Expansionary,16.46372315230283,18.687545513203737,889.0680887182228,1009.1581484067248,Neutral,2000.1689999999999
2000,13247.29,2581.66,2595.67,-14.01,31.14,2.92,8.3,Neutral,19.488212306064106,19.593969785518397,1032.7849145388507,1038.3895707107283,Expansionary,2323.494
2001,13764.55,2738.58,2389.58,349.0,31.09,0.66,8.16,Contractionary,19.89589198339212,17.360393183939905,1050.8971357684093,916.9725834883317,Expansionary,2464.722
2002,13537.24,2596.28,2269.26,327.01,31.04,4.05,4.37,Contractionary,19.17879863251298,16.76309203353121,996.2912223315755,870.8012306793377,Neutral,2336.652
2003,13396.39,2387.25,2633.61,-246.36,31.08,2.66,3.07,Expansionary,17.820099295407196,19.659102190963388,900.6768990396462,993.6251704177622,Contractionary,2148.525
2004,14618.5,2474.8,2814.06,-339.26,31.12,4.54,7.04,Expansionary,16.92923350548962,19.249991449191093,931.3798715039051,1059.0588496865519,Neutral,2227.32
2005,15276.29,2910.81,3048.01,-137.2,31.14,4.65,4.85,Expansionary,19.05443010050215,19.952553925069502,1070.9456231403344,1121.424266368458,Expansionary,2619.729
2006,16218.92,2854.01,3661.38,-807.36,31.24,7.33,6.28,Expansionary,17.596794361153517,22.574746037344042,1019.1669991070596,1307.4788340582568,Contractionary,2568.6090000000004
2007,16610.62,3192.97,3391.34,-198.38,31.27,5.67,5.36,Expansionary,19.222461292835547,20.41669726957814,1116.8670961359867,1186.2548216268294,Expansionary,2873.673
2008,16221.43,2953.64,2859.96,93.68,31.25,2.26,7.38,Contractionary,18.208259074569874,17.63075141957275,1016.68175198212,984.4358633410924,Expansionary,2658.276
2009,16669.6,3163.33,3446.53,-283.2,31.29,2.52,7.39,Expansionary,18.976640111340405,20.675541104765564,1073.9321521670943,1170.076906427232,Contractionary,2846.997
2010,16702.14,3065.91,2843.73,222.18,31.26,5.2,4.55,Contractionary,18.3563902589728,17.026141560303053,997.3731585827501,925.0956395512342,Expansionary,2759.319
2011,16922.07,3165.54,3098.03,67.51,31.25,4.31,3.23,Contractionary,18.706576677675958,18.307630213088586,1020.2951135545973,998.535753977378,Neutral,2848.986
2012,17184.6,3095.03,3247.48,-152.45,31.27,4.28,2.83,Expansionary,18.010486132932975,18.897617634393587,980.8936229889703,1029.2089003286628,Contractionary,2785.527
2013,19418.78,3842.18,4188.63,-346.46,31.31,0.0,7.22,Expansionary,19.7858979812326,21.569995643392637,1162.9113132810314,1267.771216899866,Neutral,3457.962
2014,18594.23,3370.56,3325.18,45.38,31.3,2.95,3.62,Neutral,18.126913564046482,17.882859360134837,984.3364032727234,971.0836541804313,Expansionary,3033.504
2015,19035.68,3502.94,3380.8,122.14,31.29,1.52,4.99,Contractionary,18.40196935439133,17.76033217620805,975.7693459679293,941.7463630117488,Neutral,3152.646
2016,19033.98,3784.55,3588.35,196.21,31.27,3.56,4.81,Contractionary,19.88312481152129,18.85233671570528,1017.2863593145128,964.5478346028542,Neutral,3406.0950000000003
2017,20454.78,3406.18,3682.84,-276.66,31.3,2.8,5.89,Expansionary,16.652244609817362,18.004789100640537,868.8371335811096,939.4066517441397,Contractionary,3065.562
2018,19664.75,3289.82,4068.63,-778.81,31.37,4.82,2.13,Expansionary,16.729528725257122,20.6899655474898,839.1564094668532,1037.8126895237804,Contractionary,2960.838
2019,20770.99,3940.13,3610.02,330.11,31.34,3.63,6.38,Contractionary,18.96938951874706,17.38010561846113,995.0844894498222,911.714818699801,Expansionary,3546.117
2020,20835.29,3505.93,3600.09,-94.16,31.35,4.57,7.05,Neutral,16.826883619090495,17.278809174242355,845.7605942750039,868.4754852046386,Contractionary,3155.337
2021,21882.13,4364.09,4013.9,350.19,31.32,2.07,6.18,Contractionary,19.94362523209578,18.343278282324434,1047.0220536952215,963.0053049609998,Expansionary,3927.681
2022,21838.94,3840.68,3986.25,-145.57,31.33,1.11,5.38,Expansionary,17.58638468716888,18.252946342633848,893.0478543490938,926.8962812312078,Contractionary,3456.612
2023,21909.68,3779.98,4796.97,-1016.99,31.43,2.18,6.19,Expansionary,17.252556860711795,21.894295124346865,837.8776795301392,1063.305650393836,Contractionary,3401.982
